Sitio,Depth Group,Fecha,Profuidad (m),Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),PT (µg/l),NT (µg/l)
SA,10-30 m,2015-02-10 00:00:00,19.5,20.274,3.312639157,8.141,15.29296767,4.7005,300,1.867300202,6.797509807,79.90496415,0,0,56.92436958,56.27313125
SA,10-30 m,2015-03-10 00:00:00,19.5,20.41,4.7835,8.4865,27.43523035,6.572,300,1.821832686,6.327699454,0,0,0,15.00393436,29.72821763
SA,10-30 m,2015-04-14 00:00:00,19.5,21.345,1.12,8.6225,25.48314728,6.8875,300,2.350597547,6.527479439,0,0,0,9.171397667,38.29329205
SA,10-30 m,2015-06-09 00:00:00,19.5,22.9915,0.933,8.52,31.28668027,6.7655,300,3.320610956,6.122154987,0,0,2.394905414,6.389547611,24.704198
SA,10-30 m,2015-07-14 00:00:00,19.5,22.7295,1.7125,8.644,32.96980801,7.146,300,3.135986679,6.07319656,0,0,0,0,20.98232202
SA,10-30 m,2015-08-10 00:00:00,19.5,23.098,1.4175,8.7495,33.82075682,7.068,300,3.338687663,5.989460829,0,0,0,0,19.09552531
SA,10-30 m,2015-09-09 00:00:00,19.5,23.435,2.3905,8.507,37.09072454,7.211,300,3.556588022,5.820892025,0,0,2.039593347,0,10.95260645
SA,10-30 m,2015-10-06 00:00:00,19.5,23.431,1.666,8.6655,34.67828388,6.799,300,3.55025256,5.879173732,0,0,3.706720813,0.804994268,16.14537238
SA,10-30 m,2015-11-11 00:00:00,19.5,23.455,31.87278315,8.734,41.58540532,6.499,225.3,2.916387095,5.385178975,0,0,1.78263664,0,29.10754318
SA,10-30 m,2016-01-19 00:00:00,19.5,21.522,2.2355,7.831,28.07731887,7.1825,300,2.544281711,6.493858619,0,0,0,0.827014013,31.92388177
SA,10-30 m,2016-02-16 00:00:00,19.5,20.7485,9.958195787,8.079,24.2991567,6.8385,300,2.075517302,6.649220722,2.423014561,0,0,18.24675079,39.89433749
SA,10-30 m,2016-03-01 00:00:00,19.5,20.765,5.513278315,8.5275,25.38953805,6.865,300,2.022818073,6.533436471,0,0,0,16.16221389,37.27695408
SA,10-30 m,2016-04-12 00:00:00,19.5,21.7845,4.757778315,8.413,28.38556237,7.016,300,2.625764282,6.378907737,2.458365617,0,0,13.10866281,31.34884091
SA,10-30 m,2016-05-17 00:00:00,19.5,22.6965,1.001,8.1465,28.74870116,6.436,300,3.211310708,6.262176904,3.318006465,0,1.734387478,14.60621066,29.75693959
SA,10-30 m,2016-06-14 00:00:00,19.5,23.456,1.017,8.4325,33.75961873,6.9555,300,3.593952243,6.004739319,0,0,7.723734381,5.090729729,19.3259599
SA,10-30 m,2016-07-12 00:00:00,19.5,23.089,1.106,8.599,32.11320529,6.7665,300,3.365422935,6.057637158,0,0,0.678400937,8.417585139,22.63506846
SA,10-30 m,2016-08-09 00:00:00,19.5,23.1875,1.4095,8.499,34.98803392,7.4625,300,3.410922314,6.020970547,0,0,0.024054849,0,17.29918753
SA,10-30 m,2016-09-06 00:00:00,19.5,23.498,0.842,9.783,36.1576239,7.2035,300,3.428629501,5.754527794,0,0,0,0,14.53978994
SA,10-30 m,2016-10-11 00:00:00,19.5,23.3865,1.6865,8.842,36.05409379,7.218,300,3.486544549,5.859973497,0,0,0,0,14.02049351
SA,10-30 m,2016-11-08 00:00:00,19.5,22.628,2.002,8.937,34.05498641,7.336,300,3.030062213,6.008379136,0,0,0,0,18.65368971
SA,10-30 m,2016-12-05 00:00:00,19.5,21.585,1.341,8.32,27.765365,7.333,300,2.513972305,6.499198736,0,0,0,2.48802211,33.81928687
SA,10-30 m,2017-02-07 00:00:00,19.5,20.4835,1.508,8.4255,20.51604393,6.2255,300,1.899890987,6.740627288,10.67840292,0,0,33.81211699,47.93163619
