location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Deep,2018-07-17,20.7074876742559,1.1983978314335724,7.9965853439214705,2.360056605649941,,,,0.5751619745000001,120.0,26.35940335243708,2.0486111111111107,80.6547619047619
SA,Surface,2018-08-14,23.27504728986564,1.5292082565553833,8.92038111455692,7.063523944849656,6.6,3.1,,0.4365550315115859,12.16898196784655,13.72886481047503,5.573353985916165,24.4353363903908
SA,Mid-Depth,2018-08-14,23.022039496632893,2.125499455049102,8.844966254815592,6.611197963232501,,,,0.492821815895781,7.738005007462642,13.580805366384942,8.315800724417308,28.99810873086487
SA,Lower Photic,2018-08-14,22.45664567510169,1.90585239885023,8.608454635697694,5.685541475903995,,,,0.3568480152949745,15.043488561862445,22.90855034406054,13.751721938232068,27.287069103187097
SA,Deep,2018-08-14,20.895598871292023,0.8389446794611625,8.049588217364281,2.551204573746643,,,,0.4219637308339304,130.1298733229552,45.783734455979264,9.564593435699075,52.66749024707411
SA,Surface,2018-09-11,23.56241387824533,2.15439224240905,8.838192569059117,7.156022970970686,7.825,0.3,,0.523903886356165,1.255712522631252,16.19556971526598,5.074610546246551,34.34201352650103
SA,Mid-Depth,2018-09-11,23.24280565034285,2.68106496836621,8.688811521561863,6.334349201449102,,,,0.4754602177659854,13.420179176986522,15.304648337741169,12.672795396588675,30.4352010501512
SA,Lower Photic,2018-09-11,22.50914837250721,1.9045275989657129,8.185289126242427,4.89176710177402,,,,0.3811301455773846,92.88185639929574,46.4868965511097,3.657038745809588,46.62056702360049
SA,Deep,2018-09-11,20.79615820121716,0.913369319461593,7.821106937115162,1.7197900180424506,,,,0.436799982102584,145.2565971093461,48.93693033930295,3.401875821730933,64.48028120119972
SA,Surface,2018-09-24,23.65690985695093,1.949981528948277,9.02141289103906,7.769823533711144,7.251,1.168,,2.0594273555262594,2.67226595616244,15.123712275762683,4.945915806976669,47.96779669105639
SA,Mid-Depth,2018-09-24,23.45309175460323,1.364167616595907,8.919309991820452,6.937945155122276,,,,0.576650154730433,6.625772358115055,15.765269269025396,10.605957058947912,33.097182176055185
SA,Lower Photic,2018-09-24,22.82425325018124,0.9607974684821118,8.304270154516896,5.233336013285579,,,,0.5497408372823247,24.80803100601696,30.042428510123827,12.241729251378338,45.33792509614684
SA,Deep,2018-09-24,20.886285770818407,0.5628220465129435,7.766714092746718,1.2112746300466546,,,,0.3891713064738504,47.68467180698899,36.81588090640533,8.624417395809637,57.50382767421695
SA,Surface,2018-11-14,22.6598544066547,2.714807095129829,8.852648259627511,6.845965564599332,5.925,2.0,,0.5094632120398165,7.383333333333333,13.966666666666669,10.253333333333332,41.64333333333334
SA,Mid-Depth,2018-11-14,22.65445147699692,3.2430496042905235,8.790706804300843,6.727807333616876,,,,0.5381819097231924,12.58,7.71,10.25,22.7
SA,Lower Photic,2018-11-14,22.571739745858384,2.6108436754580127,8.725811512873936,6.290873050595509,,,,0.609548240367779,11.48,7.71,19.72,27.44
SA,Deep,2018-11-14,21.100684129810304,0.9615655589530828,7.912838746289986,1.8963316695012609,,,,0.5212495861760814,55.925,57.745000000000005,22.865,84.86
SA,Surface,2018-12-12,21.487154458427337,1.810013346883298,8.676075215531942,6.255746615238785,6.0,0.0,,0.8920330108304403,8.02944847612297,15.719862102844392,7.128785634246644,24.094294743430712
SA,Mid-Depth,2018-12-12,21.45700746456115,2.122052677596734,8.615440249407254,6.1643292209146106,,,,0.9162420364831002,18.655596617328847,15.936872089272688,10.619887019185889,22.69087331275824
SA,Lower Photic,2018-12-12,21.449602824713885,2.115221570587407,8.599289191534112,6.120936296475659,,,,0.8182948813774591,49.468435072920144,24.214386157777103,5.923046421170198,29.25157416721116
SA,Deep,2018-12-12,21.34848891258049,1.5290469791579684,8.46777111563057,5.567159377917666,,,,0.9472494417360922,103.5783035831796,51.79597909319618,8.047158948824578,185.0606828632094
SA,Surface,2019-02-12,20.702490192694547,5.687332725419779,8.497697246313018,7.63,6.9,2.2,,0.7168679284076134,12.888888888888888,12.699999999999998,15.5,23.46376811594203
SA,Mid-Depth,2019-02-12,20.60797782834327,3.41828417426224,8.339603536175858,7.138,,,,0.6571038719535147,16.0,15.7,29.13636363636363,19.26086956521739
